id	text	created_at	username	user_screenname	user_id	user_created_at
1148506033419108352	RT @sofi_maure_: hola te amo muchisimo y estoy re enamorada de vos por favor no jueges con mis sentimientos y mi salud mental no seas como…	1.56265293E9	💫💫	Abigail08c	4722165257	1.45205824E9
1148506117129080832	RT @vscofoyth: el inicio de what the heart wants extendido, justin bieber sos una mierda https://t.co/6zE9ccsGv4	1.56265293E9	noelia	xtraperloo	706589612932780033	1.45729549E9
1148506029342318593	"RT @tayswiftmex_2: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

Lo que realmente pasó entre TAYLOR SWIFT, Kanye West, Justin Bieber, Scooter Braun, Scott Borchetta y las Ka…"	1.56265293E9	Santino	santinomaggi	718836730254790661	1.46021184E9
1148506122493550592	RT @Je_suis_tristee: Esta morra quería nos quiso advertir sobre el culero de Justin Bieber desde hace mucho tiempo pero no le hicimos caso…	1.56265293E9	⚡️🇦🇱 ⚡️	zenhenten	730975776204595200	1.46310592E9
1148506138209595392	RT @vscofoyth: el inicio de what the heart wants extendido, justin bieber sos una mierda https://t.co/6zE9ccsGv4	1.56265293E9	Maria Jose	maria_joselugo	742798700544589824	1.46592474E9
1148506097059336192	RT @ultraviolentito: uruguay tendrá aborto legal, marihuana legal, estado laico y todo lo que quieran pero Argentina le tiene prohibida la…	1.56265293E9	Gabrielle Perry	LnPNxJZUIKN0DOt	751716548998496256	1.46805094E9
1148506137387556864	"RT @alvarohl_: -y vas asi descalza por la calle??!
-si no lo piensas no te pasa nada Paqui https://t.co/TkxJohYmFC"	1.56265293E9	Entrenador de patos🚀🏳️‍🌈	manussnchezz	757871645814128641	1.46951846E9
1148506102419660800	"RT @maryciel0: Pase 40 min leyendo todo el chisme?
Claro que si

Me arrepiento? 
En lo absoluto

Justin Bieber?
Una mierda

Hailey?
Amiga d…"	1.56265293E9	Lucía	luciamancebo	797825740276371460	1.47904781E9
1148506101849239559	RT @notengopikete: bad bunny tenia razon y la vida es literalmente un ciclo https://t.co/lNcaHFH2Ns	1.56265293E9	cándida	CandiCamilo12	805595350417424384	1.48090022E9
1148506101496893440	RT @BelieveKarii: Mientras todos llamaban 'gay' a Justin Bieber, él se estaba comiendo a medio Victoria's Secret. Jajajaja.	1.56265293E9	Ainhoa Alonso	ainhooaa20	836665852573409283	1.4883081E9
1148506138612289537	RT @everytimelwt: imagínate ser justin bieber y haber perdido a la mujer mas bonita de este mundo y aparte con un corazón tan bonito como e…	1.56265293E9	Candela🌙	CandeRangnau_	838230506948943872	1.48868109E9
1148506061680402432	"RT @lusita_comunica: Justin Bieber: hi-

yo:
https://t.co/E0QPdqltXx"	1.56265293E9	Sofía Cabral	sofiacabralg	842855205272276993	1.48978368E9
1148506069121081344	"RT @sxlenagold: Justin Bieber?
Una mierda

Kylie y Kendall?
Falsas 

Hailey?
Amiga date cuenta

Selena?
Te amo"	1.56265293E9	🔥🧨	alefdezg10	887645615752138752	1.50045901E9
1148506116181114881	RT @JocZZ_: Okay al parecer no dormiré hoy con lo de Selena Gómez y su tóxica relación con Justin Bieber y ahora lo de Cameron Boyce, no sé…	1.56265293E9	ⁱⁿᶠⁱʳᵉˢ [ash] 🇦🇷	jimilanesa_	934002494841159680	1.51151488E9
1148506080877658112	RT @camilaparce5H: shawn: y entonces gigi hadid y kendall jenner llevaron de vacaciones a dubai a selena gomez para que hailey baldwin pasa…	1.56265293E9	Cam	Cam_b4arrera	974311197116981250	1.52112525E9
1148506021947740160	RT @notengopikete: bad bunny tenia razon y la vida es literalmente un ciclo https://t.co/lNcaHFH2Ns	1.56265293E9	𝓝𝓪𝓷𝓲	ComettoAldana	979458576220590082	1.52234893E9
1148506022463582208	"RT @lusita_comunica: Justin Bieber: hi-

yo:
https://t.co/E0QPdqltXx"	1.56265293E9	Etérea	Etereo___	983943970035290112	1.52341824E9
1148506074137452544	RT @sandra47673097: Todos apoyando a Selena Gomez después de leer todo lo que le hizo Justin Bieber https://t.co/rrtuimMtsB	1.56265293E9	milena♡	cunde_cunde	1001977763971158016	1.52771789E9
1148506141745471493	"RT @sxlenagold: Justin Bieber?
Una mierda

Kylie y Kendall?
Falsas 

Hailey?
Amiga date cuenta

Selena?
Te amo"	1.56265293E9	Alexia	aleksia04	1008244930211442688	1.52921216E9
1148506030055333889	"RT @TaaanuuAKe: \"Creo que escogí quien iba a romper mi corazón \"

Todas somos selena https://t.co/Dc96SuS1au"	1.56265293E9	Lai Lusa	BiancaPelotuda	1009544357811294209	1.52952192E9
1148506072640081920	"RT @tayswiftmex_2: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

Lo que realmente pasó entre TAYLOR SWIFT, Kanye West, Justin Bieber, Scooter Braun, Scott Borchetta y las Ka…"	1.56265293E9	N I A 🇵🇪 ORGULLOSA DE MI SELECCIÓN	NiaMT06	1021241009794142208	1.53231066E9
1148506088087728128	"RT @glitterybutera: RETWEET/LIKE IF U STAN THEM:
Ariana Grande 
Justin Bieber 
Rihanna
Selena Gomez
Troye Sivan
Demi Lovato
Madison Beer
Do…"	1.56265293E9	drunk mess	flaagnes	1023964381820985346	1.53295987E9
1148506058140323840	RT @jahmai26: Yo después de leer el thread de Justin Bieber https://t.co/ihL7Pvqzdq	1.56265293E9	Fat	fxrnero	1029035337903943680	1.53416896E9
1148506068085018624	"RT @tayswiftmex_2: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨

Lo que realmente pasó entre TAYLOR SWIFT, Kanye West, Justin Bieber, Scooter Braun, Scott Borchetta y las Ka…"	1.56265293E9	Danna Rivas Palafox♡	dannarivas0	1035748569767202816	1.53576947E9
1148506073482928129	"RT @glitterybutera: RETWEET/LIKE IF U STAN THEM:
Ariana Grande 
Justin Bieber 
Rihanna
Selena Gomez
Troye Sivan
Demi Lovato
Madison Beer
Do…"	1.56265293E9	CRUSH ON 5SOS 💚	assooyaa	1037249290890924032	1.53612723E9
1148506089723432961	RT @marlaisabelle: Yo aprendiendo más sobre la relación tóxica entre Justin Bieber y Selena Gómez que todo lo que aprendí en la escuela htt…	1.56265293E9	ᴿᴏ✨	ayleeen_21	1048614643235741696	1.53883699E9
1148506079149645825	"RT @maryciel0: Pase 40 min leyendo todo el chisme?
Claro que si

Me arrepiento? 
En lo absoluto

Justin Bieber?
Una mierda

Hailey?
Amiga d…"	1.56265293E9	Mon✿	whitxprtgs	1051590905969463298	1.53954662E9
1148506091073998848	RT @notengopikete: bad bunny tenia razon y la vida es literalmente un ciclo https://t.co/lNcaHFH2Ns	1.56265293E9	𝓖𝓲𝓸𝓿𝓲	giogasparrini	1078350266733350913	1.54593011E9
1148506116390825984	😔	1.56265293E9	P I T T I 🍷	pittidelortiz	1083129617924399105	1.54706957E9
1148506100502863872	"RT @absolutkilam: *yo en el 2010*: odio a justin bieber 

*yo en el 2015*: puede ser que justin sea buena gente hay q darle una oportunidad…"	1.56265293E9	giovi_scalmazzi	GioviScalmazzi	1109448664471269377	1.55334451E9
1148506023797370881	RT @notengopikete: bad bunny tenia razon y la vida es literalmente un ciclo https://t.co/lNcaHFH2Ns	1.56265293E9	Andrea	AndreaHerradon	1117381374313414657	1.55523226E9
1148506047432273920	RT @papawldo: drake bell intentó decírselos y ustedes lo único que hicieron al respecto fue destruirle su carrera pendegos https://t.co/mpN…	1.56265293E9	𝙉𝙊𝘼𝙃🍒	hell_boi_	1119736776141225984	1.55579379E9
1148506086187700224	"RT @Rrenata1501: Pase 40 min leyendo todo el chisme?
Claro que si

Me arrepiento? 
No, me quito el aburrimiento 

Justin Bieber?
Una mierda…"	1.56265293E9	𝙉𝙊𝘼𝙃🍒	hell_boi_	1119736776141225984	1.55579379E9
1148506063576190976	"RT @belenfuentes09: Vamos a ver, Justin Bieber tendrá canciones chulas y cantará muy bien,si, q me ha encantado siempre, tmb
Q es el típico…"	1.56265293E9	𝓜𝓪𝓻𝓽𝓪 𝓕𝓮𝓻𝓷𝓪𝓷𝓭𝓮𝔃 ✨	martaaa02_	1122588807008854018	1.55647386E9
1148506074573606914	RT @LaraPacheco165: Muy fuerte él hilo sobre lo de selena y bieber, los ovarios que tuvo esa mina para bancarse las mil &amp; una, sin embargo…	1.56265293E9	Lulii Quinteros💙	Lulii98901607	1137095660413607936	1.55993254E9
